Linux 3.10.0-957.21.3.el7.x86_64 (X05) 	05/26/2020 	_x86_64_	(88 CPU)

06:05:49 PM   UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
07:54:09 PM  8903     49400      0.25      0.00 60488768 56288452  10.66  rsession
07:54:29 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:54:49 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:55:09 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:55:29 PM  8903     49400      0.20      0.00 60488768 56288452  10.66  rsession
07:55:49 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:56:09 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:56:29 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:56:49 PM  8903     49400      0.15      0.00 60488768 56288452  10.66  rsession
07:57:09 PM  8903     49400      0.35      0.00 60488768 56288452  10.66  rsession
07:57:29 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:57:49 PM  8903     49400      0.40      0.00 60488768 56288452  10.66  rsession
07:58:09 PM  8903     49400      0.25      0.00 60488768 56288452  10.66  rsession
07:58:29 PM  8903     49400      0.25      0.00 60488768 56288452  10.66  rsession
07:58:49 PM  8903     49400      0.20      0.00 60488768 56288452  10.66  rsession
07:59:09 PM  8903     49400      0.25      0.00 60488768 56288452  10.66  rsession
07:59:29 PM  8903     49400      0.30      0.00 60488768 56288452  10.66  rsession
07:59:49 PM  8903     49400      0.25      0.00 60488768 56288452  10.66  rsession
